20200109154838,10.0.0.2,56457,10.0.0.1,5001,3,0.0-1.0,2883584,23068672
20200109154839,10.0.0.2,56457,10.0.0.1,5001,3,1.0-2.0,3801088,30408704
20200109154840,10.0.0.2,56457,10.0.0.1,5001,3,2.0-3.0,3932160,31457280
20200109154841,10.0.0.2,56457,10.0.0.1,5001,3,3.0-4.0,4063232,32505856
20200109154842,10.0.0.2,56457,10.0.0.1,5001,3,4.0-5.0,4456448,35651584
20200109154843,10.0.0.2,56457,10.0.0.1,5001,3,5.0-6.0,4194304,33554432
20200109154844,10.0.0.2,56457,10.0.0.1,5001,3,6.0-7.0,4456448,35651584
20200109154845,10.0.0.2,56457,10.0.0.1,5001,3,7.0-8.0,4456448,35651584
20200109154846,10.0.0.2,56457,10.0.0.1,5001,3,8.0-9.0,4194304,33554432
20200109154847,10.0.0.2,56457,10.0.0.1,5001,3,9.0-10.0,4587520,36700160
20200109154848,10.0.0.2,56457,10.0.0.1,5001,3,10.0-11.0,4849664,38797312
20200109154849,10.0.0.2,56457,10.0.0.1,5001,3,11.0-12.0,4849664,38797312
20200109154850,10.0.0.2,56457,10.0.0.1,5001,3,12.0-13.0,4587520,36700160
20200109154851,10.0.0.2,56457,10.0.0.1,5001,3,13.0-14.0,5242880,41943040
20200109154852,10.0.0.2,56457,10.0.0.1,5001,3,14.0-15.0,4325376,34603008
20200109154853,10.0.0.2,56457,10.0.0.1,5001,3,15.0-16.0,5242880,41943040
20200109154854,10.0.0.2,56457,10.0.0.1,5001,3,16.0-17.0,4718592,37748736
20200109154855,10.0.0.2,56457,10.0.0.1,5001,3,17.0-18.0,4718592,37748736
20200109154856,10.0.0.2,56457,10.0.0.1,5001,3,18.0-19.0,5111808,40894464
20200109154857,10.0.0.2,56457,10.0.0.1,5001,3,19.0-20.0,4718592,37748736
20200109154858,10.0.0.2,56457,10.0.0.1,5001,3,20.0-21.0,5242880,41943040
20200109154859,10.0.0.2,56457,10.0.0.1,5001,3,21.0-22.0,5111808,40894464
20200109154900,10.0.0.2,56457,10.0.0.1,5001,3,22.0-23.0,5111808,40894464
20200109154901,10.0.0.2,56457,10.0.0.1,5001,3,23.0-24.0,4325376,34603008
20200109154902,10.0.0.2,56457,10.0.0.1,5001,3,24.0-25.0,4718592,37748736
20200109154903,10.0.0.2,56457,10.0.0.1,5001,3,25.0-26.0,4325376,34603008
20200109154904,10.0.0.2,56457,10.0.0.1,5001,3,26.0-27.0,3932160,31457280
20200109154905,10.0.0.2,56457,10.0.0.1,5001,3,27.0-28.0,4194304,33554432
20200109154906,10.0.0.2,56457,10.0.0.1,5001,3,28.0-29.0,4718592,37748736
20200109154907,10.0.0.2,56457,10.0.0.1,5001,3,29.0-30.0,4718592,37748736
20200109154908,10.0.0.2,56457,10.0.0.1,5001,3,30.0-31.0,4718592,37748736
20200109154909,10.0.0.2,56457,10.0.0.1,5001,3,31.0-32.0,4718592,37748736
20200109154910,10.0.0.2,56457,10.0.0.1,5001,3,32.0-33.0,4325376,34603008
20200109154911,10.0.0.2,56457,10.0.0.1,5001,3,33.0-34.0,4718592,37748736
20200109154912,10.0.0.2,56457,10.0.0.1,5001,3,34.0-35.0,3538944,28311552
20200109154913,10.0.0.2,56457,10.0.0.1,5001,3,35.0-36.0,3407872,27262976
20200109154914,10.0.0.2,56457,10.0.0.1,5001,3,36.0-37.0,3801088,30408704
20200109154915,10.0.0.2,56457,10.0.0.1,5001,3,37.0-38.0,4849664,38797312
20200109154916,10.0.0.2,56457,10.0.0.1,5001,3,38.0-39.0,4718592,37748736
20200109154917,10.0.0.2,56457,10.0.0.1,5001,3,39.0-40.0,5111808,40894464
20200109154918,10.0.0.2,56457,10.0.0.1,5001,3,40.0-41.0,4718592,37748736
20200109154919,10.0.0.2,56457,10.0.0.1,5001,3,41.0-42.0,4849664,38797312
20200109154920,10.0.0.2,56457,10.0.0.1,5001,3,42.0-43.0,4718592,37748736
20200109154921,10.0.0.2,56457,10.0.0.1,5001,3,43.0-44.0,4718592,37748736
20200109154922,10.0.0.2,56457,10.0.0.1,5001,3,44.0-45.0,4194304,33554432
20200109154923,10.0.0.2,56457,10.0.0.1,5001,3,45.0-46.0,3932160,31457280
20200109154924,10.0.0.2,56457,10.0.0.1,5001,3,46.0-47.0,4325376,34603008
20200109154925,10.0.0.2,56457,10.0.0.1,5001,3,47.0-48.0,4325376,34603008
20200109154926,10.0.0.2,56457,10.0.0.1,5001,3,48.0-49.0,4718592,37748736
20200109154927,10.0.0.2,56457,10.0.0.1,5001,3,49.0-50.0,4718592,37748736
20200109154928,10.0.0.2,56457,10.0.0.1,5001,3,50.0-51.0,4325376,34603008
20200109154929,10.0.0.2,56457,10.0.0.1,5001,3,51.0-52.0,4325376,34603008
20200109154930,10.0.0.2,56457,10.0.0.1,5001,3,52.0-53.0,4718592,37748736
20200109154931,10.0.0.2,56457,10.0.0.1,5001,3,53.0-54.0,5111808,40894464
20200109154932,10.0.0.2,56457,10.0.0.1,5001,3,54.0-55.0,4718592,37748736
20200109154933,10.0.0.2,56457,10.0.0.1,5001,3,55.0-56.0,4718592,37748736
20200109154934,10.0.0.2,56457,10.0.0.1,5001,3,56.0-57.0,4718592,37748736
20200109154935,10.0.0.2,56457,10.0.0.1,5001,3,57.0-58.0,4849664,38797312
20200109154936,10.0.0.2,56457,10.0.0.1,5001,3,58.0-59.0,5242880,41943040
20200109154937,10.0.0.2,56457,10.0.0.1,5001,3,59.0-60.0,4980736,39845888
20200109154937,10.0.0.2,56457,10.0.0.1,5001,3,0.0-60.1,272760832,36324018
